SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL;VR_DESPESA_TOTAL;POPULACAO;CUSTO_POR_VOTO;CUSTO_POR_HABITANTE
130001610911;1460;CRÉSIO VIEIRA CAMPOS;PROFESSOR CRÉSIO CAMPOS;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;576;99935.0;20538718;173.49826388888889;0.004865688306349014
130001610912;1431;FRANCISNALDO CARLOS PIMENTA;DR FRANCIS PIMENTA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;381;50000.0;20538718;131.23359580052494;0.002434426530419279
250001717158;3616;WALTER AGUIAR DE CARVALHO JUNIOR;DR. WALTER AGUIAR;SP;AGIR;AGIR;NÃO ELEITO;851;10000.029999999999;44420459;11.750916568742655;0.0002251221672428013
250001717159;3618;WILKY ANDRADE OKAGAWA;DJ WIL;SP;AGIR;AGIR;NÃO ELEITO;51;5000.0;44420459;98.03921568627452;0.00011256074593916285
250001717163;3617;ROBSON INACIO GOMES;ROBSON PENTECOSTE;SP;AGIR;AGIR;NÃO ELEITO;469;19990.0;44420459;42.6226012793177;0.0004500178622647731
250001717166;3661;ROBERVAL BARBOSA DE JESUS;BRONK S;SP;AGIR;AGIR;NÃO ELEITO;844;11500.06;44420459;13.625663507109005;0.0002588910663890258
250001717167;3628;VIVIANE RODRIGUES DA SILVA AUGUSTO;VIVIANE DA SAUDE;SP;AGIR;AGIR;NÃO ELEITO;193;5000.0;44420459;25.906735751295336;0.00011256074593916285
250001717168;3675;EDER DIAS MASCARENHAS;EDER MASCARENHAS;SP;AGIR;AGIR;NÃO ELEITO;931;29991.0;44420459;32.21374865735768;0.0006751618662922866
250001717172;3660;SIONEIA APARECIDA DE MELLO;NEIA MELLO;SP;AGIR;AGIR;NÃO ELEITO;389;9990.0;44420459;25.681233933161955;0.00022489637038644738
250001717174;3601;SUELI DOS SANTOS SILVA BARBOSA;SUELI BARBOSA;SP;AGIR;AGIR;NÃO ELEITO;198;5000.0;44420459;25.252525252525253;0.00011256074593916285
250001677880;9022;NISE HITOMI YAMAGUCHI;DRA NISE YAMAGUCHI;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;36690;550146.92;44420459;14.994464976832926;0.012384989538266592
250001677883;9019;RICARDO DUREGGER;RICARDO DUREGGER;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;544;1650.0;44420459;3.0330882352941178;3.714504615992374e-05
250001677884;9009;ROMÉRIO MOURA DA FONSECA;ROMÁRIO;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;404;51083.81;44420459;126.44507425742573;0.0011500063518028933
250001677885;9012;SERGIO ZULMIRO LITHOLDO;LITHOLDO;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;1681;100000.0;44420459;59.4883997620464;0.002251214918783257
250001677888;9044;VALTER FRANCISCO BRITO;VALTÃO;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;64;375.64;44420459;5.869375;8.456463720917427e-06
160001614491;1441;MARIO LUIZ KONOPKA;MARIO KONOPKA;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;336;10000.0;11443208;29.761904761904763;0.0008738808208327595
160001614494;1400;RONALD REDES MARTINS;RONALD REDES CIENTISTAPOLÍTICO;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;365;26920.0;11443208;73.75342465753425;0.0023524871696817885
160001614497;1433;THOMAS RAYMUND KORONTAI;THOMAS KORONTAI TK;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;533;29446.0;11443208;55.24577861163227;0.0025732294650241436
160001614473;1432;ALCIR SPERANDIO;PROFESSOR ALCIR SPERANDIO;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;311;9847.85;11443208;31.665112540192926;0.000860584724143789
160001614480;1409;DENISE REGINA FERNANDES MEIRELES;DENISE REGINA;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;50;10000.0;11443208;200.0;0.0008738808208327595
160001614476;1456;ARNO ROBERTO BOOS;ARNO BOOS;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;1032;51993.16;11443208;50.380968992248064;0.0045435825338489
160001614487;1434;LILIANE FARIA DE FREITAS;LILIANE FREITAS;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;359;20000.0;11443208;55.710306406685234;0.001747761641665519
250001613965;3319;JOSÉ FERREIRA CAMPOS FILHO;DOUTOR CAMPOS;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;196;0.0;44420459;0.0;0.0
250001613966;3367;JOSÉ MAURO SOUZA DA SILVA;MISSIONÁRIO JOSÉ MAURO;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;65;30500.0;44420459;469.2307692307692;0.0006866205502288934
250001613969;3346;MARCELO FRANCISCO DE LACERDA;CABELO;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;260;24961.7;44420459;96.00653846153847;0.0005619415143819202
250001613970;3312;MARIA APARECIDA DE SOUZA MARQUES;PASTORA CIDA TUTIA;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;100;29950.0;44420459;299.5;0.0006742388681755855
250001613976;3399;REINALDO ADRIANO DO CARMO;REINALDO UBER;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;117;24966.0;44420459;213.3846153846154;0.0005620383166234279
250001613977;3317;ROMÁRIO SANTOS ALVES;ROMÁRIO SANTOS;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;50;0.0;44420459;0.0;0.0
130001610914;1492;JOAQUIM EUSTÁQUIO COELHO;JOAQUIM COELHO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;108;39320.0;20538718;364.0740740740741;0.0019144330235217214
130001610915;1416;EDMILSON DE OLIVEIRA PEREIRA;REPRESENTANTE EDMILSON;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;385;35000.0;20538718;90.9090909090909;0.0017040985712934956
130001610916;1402;ELISA DE MACEDO DA SILVA;LIS MACEDO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;3432;755451.59;20538718;220.11992715617714;0.03678182786286856
130001610917;1455;JOÃO PAULO FELIZARDO;FELIZARDO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;3282;238500.0;20538718;72.6691042047532;0.011612214550099963
130001610918;1430;MAYARA SHIGUEKI ROSSI;MAYARA ROSSI;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;247;45000.0;20538718;182.18623481781376;0.0021909838773773514
130001610919;1425;OIDES RODRIGUES SILVA JÚNIOR;OIDES JUNIOR;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;923;85517.19;20538718;92.65134344528711;0.004163706322858126
130001610920;1458;PATRICIA FERREIRA DE OLIVEIRA;PATRÍCIA FERREIRA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;131;35000.0;20538718;267.17557251908397;0.0017040985712934956
130001610882;1470;KILDARE TRAVAGLIA DE CASTRO;KILDARE TRAVAGLIA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;2604;92293.83;20538718;35.443099078341014;0.004493650966920136
130001610886;1466;JUNIO CESAR MIRANDA;JUNIO MIRANDA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;164;15000.0;20538718;91.46341463414635;0.0007303279591257838
130001610896;1478;ZELIA CARDOSO DE SOUZA;ZÉLIA CARDOSO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;1705;166851.0;20538718;97.85982404692082;0.008123730020539743
130001610909;1495;ARMANDO MATTIELLO;A. MATTIELLO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;3322;54300.0;20538718;16.345574954846477;0.0026437872120353375
130001610901;1452;ANDERSON CARLOS DE OLIVEIRA;SARGENTO ANDERSON CARLOS;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;256;0.0;20538718;0.0;0.0
250001620712;5102;LEANDRO AUGUSTO DO AMARAL;LEANDRO GUERREIRO;SP;PATRIOTA;Patriota;NÃO ELEITO;3223;80000.0;44420459;24.821594787465095;0.0018009719350266056
250001620718;5112;JOSÉ ANTONIO DE GÓES FILHO;REVERENDO JOSÉ GÓES;SP;PATRIOTA;Patriota;NÃO ELEITO;791;403592.25;44420459;510.230404551201;0.00908572894305302
250001620723;5175;FLAVIA FERREIRA DO PRADO;FLAVIA PRADO;SP;PATRIOTA;Patriota;NÃO ELEITO;144;15000.0;44420459;104.16666666666667;0.0003376822378174886
250001620725;5140;ALESSANDRA RUDOLPHO STRINGHETA BARBOSA;ALESSANDRA STRINGHETA;SP;PATRIOTA;Patriota;NÃO ELEITO;702;149966.7;44420459;213.6277777777778;0.003376072723606931
